#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
56.0%	56	0.5600000000000003	120.68474579027304	484.18480900656897	604.8695547968421	277.30498692920276	707	0:00
57.0%	57	0.5700000000000003	123.5326622394548	482.3534600916686	605.8861223311234	276.25612670586935	709	0:00
58.0%	58	0.5800000000000003	129.2655132050262	492.31837735487744	621.5838905599037	281.96328892992676	711	0:00
59.0%	59	0.5900000000000003	136.22834029974433	491.7622136392198	627.9905539389641	281.64475978768166	712	0:00
60.0%	60	0.6000000000000003	143.6932697363957	475.9780460209409	619.6713157573366	272.6047644932077	713	0:00
61.0%	61	0.6100000000000003	149.69110015096427	466.98222516548265	616.673325316447	267.4526284940247	713	0:00
62.0%	62	0.6200000000000003	154.32040436486525	472.0277905620292	626.3481949268945	270.3423524595711	714	0:00
63.0%	63	0.6300000000000003	160.45399588461362	487.12375960539435	647.577755490008	278.98819888098825	715	0:00
64.0%	64	0.6400000000000003	164.3975017869517	480.4273440604694	644.8248458474211	275.1529909384509	716	0:00
65.0%	65	0.6500000000000004	166.16445924461877	493.7797726173123	659.944231861931	282.8002672625997	717	0:00
66.0%	66	0.6600000000000004	164.61589747464433	472.59024541485604	637.2061428895004	270.66448469649816	718	0:00
67.0%	67	0.6700000000000004	165.06087746096196	480.615642403465	645.676519864427	275.2608342011306	719	0:00
68.0%	68	0.6800000000000004	167.71957327521153	451.96843152321	619.6880047984215	258.8538460203025	719	0:00
69.0%	69	0.6900000000000004	170.7462722572243	458.0764146908257	628.82268694805	262.3520437352096	720	0:00
70.0%	70	0.7000000000000004	171.31527479454707	451.18374806174336	622.4990228562904	258.40443779233277	721	0:00
71.0%	71	0.7100000000000004	175.84007672135738	435.5821983368673	611.4222750582246	249.46903242220395	722	0:00
72.0%	72	0.7200000000000004	180.02852988764116	430.9952831962757	611.0238130839168	246.8419891539178	723	0:00
73.0%	73	0.7300000000000004	179.17710831111347	430.92534493606024	610.1024532471737	246.80193372885256	724	0:00
74.0%	74	0.7400000000000004	178.78724896157792	417.32650041817317	596.1137493797511	239.01352870015666	716	0:00
75.0%	75	0.7500000000000004	173.63087665441347	420.25239858954666	593.8832752439602	240.6892651939009	706	0:00
76.0%	76	0.7600000000000005	171.31273498055248	448.62354833945	619.9362833200025	256.9381461257615	698	0:00
77.0%	77	0.7700000000000005	165.3544144291772	482.0649465625446	647.4193609917218	276.09088765058635	689	0:00
78.0%	78	0.7800000000000005	159.41919723440213	493.4897487000916	652.9089459344937	282.6341631695385	689	0:00
79.0%	79	0.7900000000000005	154.15398599265203	511.00826724341636	665.1622532360684	292.66746546508773	626	0:00
80.0%	80	0.8000000000000005	152.2200047677421	500.5516509722687	652.7716557400108	286.67869468075907	604	0:00
81.0%	81	0.8100000000000005	153.96395756855586	488.8448200641871	642.8087776327429	279.97389409313075	599	0:00
82.0%	82	0.8200000000000005	155.5347477927857	513.7306685562905	669.2654163490763	294.2266541187582	601	0:00
83.0%	83	0.8300000000000005	158.27015944695705	527.2568779050798	685.5270373520368	301.9734591339002	602	0:00
84.0%	84	0.8400000000000005	160.95297117195184	509.7446551635843	670.6976263355361	291.94376260460274	603	0:00
85.0%	85	0.8500000000000005	164.10075798845625	536.3546216002857	700.455379588742	307.1839689424598	603	0:00
86.0%	86	0.8600000000000005	167.9428772028017	545.3723074969308	713.3151846997325	312.34862760829355	586	0:00
87.0%	87	0.8700000000000006	171.6039530107784	533.0594069705554	704.6633599813338	305.29671549536977	577	0:00
88.0%	88	0.8800000000000006	173.8824946256058	523.9093403605386	697.7918349861444	300.0562390192529	579	0:00
89.0%	89	0.8900000000000006	177.15828673117886	507.7905746139136	684.9488613450924	290.82461084435477	580	0:00
90.0%	90	0.9000000000000006	179.10421053061194	492.9844758162003	672.0886863468122	282.34478050437264	581	0:00
91.0%	91	0.9100000000000006	181.98411759572338	489.7052171537723	671.6893347494956	280.466665446637	582	0:00
92.0%	92	0.9200000000000006	182.07941786686305	503.69090341472196	685.770321281585	288.47662460612804	583	0:00
93.0%	93	0.9300000000000006	183.39583809812262	475.95550466261204	659.3513427607347	272.59185448248354	584	0:00
94.0%	94	0.9400000000000006	182.70260611877183	473.2795400095275	655.9821461282993	271.05926128801894	584	0:00
95.0%	95	0.9500000000000006	183.19154690088044	492.7003015922971	675.8918484931776	282.1820266798427	586	0:00
96.0%	96	0.9600000000000006	182.74207692872278	476.3465731090568	659.0886500377796	272.8158293540874	580	0:00
97.0%	97	0.9700000000000006	182.1874060377065	480.9714264750316	663.1588325127381	275.46460081148297	580	0:00
98.0%	98	0.9800000000000006	183.55687185592024	491.10935182638076	674.666223682301	281.2708491793597	581	0:00
99.0%	99	0.9900000000000007	185.4267549211709	479.5948464210834	665.0216013422543	274.67619831151535	582	0:00
100.0%	100	1.0000000000000007	189.03284661841337	461.54829389689496	650.5811405153083	264.3404774901516	584	0:00
