#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
68.0%	6800	67.99999999999788	42.908796478877775	497.4047804380892	540.3135769169669	284.8764016799955	1.43e+04	0:00
69.0%	6900	68.9999999999984	22.78120741186285	502.5908936455602	525.372101057423	287.8466209608561	1.43e+04	0:00
70.0%	7000	69.9999999999989	39.87976145050621	490.3389863872911	530.2187478377973	280.82964124791755	1.43e+04	0:00
71.0%	7100	70.99999999999942	57.35180098139972	477.22482958225874	534.5766305636585	273.31882923200885	1.43e+04	0:00
72.0%	7200	71.99999999999993	37.49371517013742	504.9517907887153	542.4455059588527	289.19876695809853	1.44e+04	0:00
73.0%	7300	73.00000000000044	20.280173122650694	526.5065224476518	546.7866955703025	301.5437114292143	1.44e+04	0:00
74.0%	7400	74.00000000000095	37.62418970396175	533.8134267977288	571.4376165016905	305.72856187805087	1.44e+04	0:00
75.0%	7500	75.00000000000146	67.97319987040828	503.3239886638809	571.2971885342893	288.26648317192047	1.45e+04	0:00
76.0%	7600	76.00000000000198	39.00611260157373	538.1444748073529	577.1505874089266	308.2090635157681	1.45e+04	0:00
77.0%	7700	77.00000000000249	57.751312014042924	532.05398471541	589.805296729453	304.7208845313759	1.46e+04	0:00
78.0%	7800	78.000000000003	49.43295494013	520.5492663528015	569.9822212929315	298.131838952451	1.46e+04	0:00
79.0%	7900	79.00000000000351	40.49111615784932	533.3470195878625	573.8381357457118	305.46143857548174	1.46e+04	0:00
80.0%	8000	80.00000000000402	37.166236209151975	533.9686498875968	571.1348860967488	305.8174620998387	1.47e+04	0:00
81.0%	8100	81.00000000000453	38.21439149383514	533.0376369406844	571.2520284345195	305.28424724412235	1.47e+04	0:00
82.0%	8200	82.00000000000504	50.83551267726966	525.3043227162806	576.1398353935502	300.8551809867202	1.47e+04	0:00
83.0%	8300	83.00000000000556	38.389076815168664	533.7917442197129	572.1808210348815	305.7161437127111	1.47e+04	0:00
84.0%	8400	84.00000000000607	43.591138694207984	525.4611762067947	569.0523149010027	300.94501498053353	1.47e+04	0:00
85.0%	8500	85.00000000000658	39.06472211112123	532.201632752442	571.2663548635633	304.8054463272391	1.48e+04	0:00
86.0%	8600	86.00000000000709	55.90148501413614	521.0147951347725	576.9162801489086	298.39845915696446	1.48e+04	0:00
87.0%	8700	87.0000000000076	44.23100665662787	536.4810742804328	580.7120809370607	307.2563916169491	1.48e+04	0:00
88.0%	8800	88.00000000000811	41.029792152228765	548.819024750384	589.8488169026127	314.3226504713373	1.48e+04	0:00
89.0%	8900	89.00000000000863	48.62637917169195	545.2648691967288	593.8912483684207	312.28709495406923	1.48e+04	0:00
90.0%	9000	90.00000000000914	59.20455642646448	540.3837696924733	599.5883261189377	309.4915647989517	1.48e+04	0:00
91.0%	9100	91.00000000000965	25.82694282650482	584.8484687632304	610.6754115897352	334.95763181564723	1.48e+04	0:00
92.0%	9200	92.00000000001016	11.07696610790083	607.0432250157857	618.1201911236865	347.66913469228575	1.48e+04	0:00
93.0%	9300	93.00000000001067	36.02665560213245	581.7099072574096	617.736562859542	333.1600976073067	1.48e+04	0:00
94.0%	9400	94.00000000001118	29.015310707429308	590.3165305557832	619.3318412632125	338.08933024093045	1.49e+04	0:00
95.0%	9500	95.0000000000117	32.70022037249316	583.0269726094923	615.7271929819855	333.9144145198789	1.49e+04	0:00
96.0%	9600	96.00000000001221	70.83157747873884	549.7337911154691	620.5653685942079	314.84656049535	1.49e+04	0:00
97.0%	9700	97.00000000001272	80.85464641533326	535.8020430989942	616.6566895143275	306.8674931439059	1.49e+04	0:00
98.0%	9800	98.00000000001323	43.727537645037955	569.2151923855461	612.942730030584	326.0040557824191	1.49e+04	0:00
99.0%	9900	99.00000000001374	27.655382003096747	583.0626611736874	610.7180431767841	333.9348542706591	1.49e+04	0:00
100.0%	10000	100.00000000001425	54.802412688932236	560.7347385137123	615.5371512026445	321.14708359672073	1.49e+04	0:00
50.5%	10100	101.00000000001477	56.39639754188829	554.0738271427113	610.4702246845995	317.3322097999533	0	--
51.0%	10200	102.00000000001528	52.94076830348786	571.6872158082862	624.627984111774	327.4198466337226	1.35e+04	0:00
51.5%	10300	103.00000000001579	78.02482422617322	535.3464338578115	613.3712580839847	306.6065541133522	1.32e+04	0:00
52.0%	10400	104.0000000000163	39.8913823501498	577.649544849365	617.5409271995148	330.8346245161521	1.31e+04	0:00
52.5%	10500	105.00000000001681	83.78091766719263	540.2203077852344	624.001225452427	309.39794599636406	1.32e+04	0:00
53.0%	10600	106.00000000001732	69.770922560092	556.7934477783207	626.5643703384127	318.88980588884635	1.31e+04	0:00
53.5%	10700	107.00000000001783	86.71512562718999	541.8900142592306	628.6051398864206	310.3542294718765	1.32e+04	0:00
54.0%	10800	108.00000000001835	70.18853155448505	562.7893238567609	632.977855411246	322.32379701502896	1.32e+04	0:00
54.5%	10900	109.00000000001886	36.710464398085605	594.2709589849337	630.9814233830193	340.35413224103445	1.32e+04	0:00
55.0%	11000	110.00000000001937	61.243230981810484	557.2204518956819	618.4636828774924	319.13436203555096	1.31e+04	0:00
55.5%	11100	111.00000000001988	73.46654099873194	543.8638417617284	617.3303827604603	311.48469081555993	1.3e+04	0:00
56.0%	11200	112.00000000002039	60.37846447206539	555.787437550132	616.1659020221974	318.3136381776972	1.29e+04	0:00
56.5%	11300	113.0000000000209	39.77561023825547	567.0661110847938	606.8417213230492	324.77322211946785	1.27e+04	0:00
57.0%	11400	114.00000000002142	34.24516438428691	562.8221332818941	597.067297666181	322.3425878094498	1.26e+04	0:00
57.5%	11500	115.00000000002193	45.59877770276944	542.6606853890701	588.2594630918395	310.79561248020616	1.26e+04	0:00
58.0%	11600	116.00000000002244	39.126836188715856	545.4270111948848	584.5538473836007	312.37995781106713	1.25e+04	0:00
58.5%	11700	117.00000000002295	32.69770488052745	555.1462829816936	587.8439878622211	317.94643260678055	1.25e+04	0:00
59.0%	11800	118.00000000002346	73.42516853768234	521.8407207487262	595.2658892864085	298.871487817347	1.25e+04	0:00
59.5%	11900	119.00000000002397	54.25637452678802	534.5910636045156	588.8474381313036	306.17393430719454	1.24e+04	0:00
60.0%	12000	120.00000000002449	36.83288741977594	556.1062658751248	592.9391532949007	318.4962392896077	1.24e+04	0:00
60.5%	12100	121.000000000025	55.36419438177836	525.5659619490617	580.9301563308401	301.0050284471876	1.24e+04	0:00
61.0%	12200	122.00000000002551	41.22309838581714	556.1694567359741	597.3925551217912	318.53243030699593	1.24e+04	0:00
61.5%	12300	123.00000000002602	98.75896818988258	488.61363027680466	587.3725984666872	279.84148580651015	1.24e+04	0:00
62.0%	12400	124.00000000002653	29.137716770628685	553.9482252712769	583.0859420419056	317.2602744053096	1.23e+04	0:00
62.5%	12500	125.00000000002704	41.85057117985707	536.7366816681489	578.587252848006	307.40278448593443	1.23e+04	0:00
63.0%	12600	126.00000000002755	72.02101454100921	497.9883850772305	570.0093996182397	285.21064693886876	1.23e+04	0:00
63.5%	12700	127.00000000002807	78.26091058747988	502.8682848467742	581.1291954342541	288.0054899753234	1.23e+04	0:00
64.0%	12800	128.00000000002856	59.410243018121946	535.0623374290436	594.4725804471656	306.4438448440801	1.24e+04	0:00
64.5%	12900	129.00000000002765	74.89374820002877	523.2303117966027	598.1240599966314	299.66734204532025	1.25e+04	0:00
65.0%	13000	130.00000000002674	61.91436545623219	528.7668597596014	590.6812252158336	302.8382642468291	1.26e+04	0:00
65.5%	13100	131.00000000002584	90.9344423548755	493.91688517064307	584.8513275255186	282.87879511829016	1.26e+04	0:00
66.0%	13200	132.00000000002493	50.79132851856957	541.0044742893749	591.7958028079445	309.8470581496908	1.27e+04	0:00
66.5%	13300	133.00000000002402	26.374911056949713	562.2280529697529	588.6029640267026	322.0023428655177	1.28e+04	0:00
67.0%	13400	134.0000000000231	54.39525867346674	532.3407711433039	586.7360298167706	304.8851344317429	1.28e+04	0:00
67.5%	13500	135.0000000000222	-0.12473526732355822	587.0557474586244	586.9310121913009	336.22179661055526	1.28e+04	0:00
68.0%	13600	136.0000000000213	12.973060537109632	565.348099198081	578.3211597351906	323.7892729022948	1.29e+04	0:00
68.5%	13700	137.00000000002038	32.159611513825894	551.9931830888278	584.1527946026537	316.14057189344754	1.3e+04	0:00
69.0%	13800	138.00000000001947	60.49507263822488	534.1542168975833	594.6492895358082	305.9237410584544	1.3e+04	0:00
69.5%	13900	139.00000000001856	52.43695681614918	537.2618262880385	589.6987831041877	307.70354820103984	1.31e+04	0:00
70.0%	14000	140.00000000001765	54.23975028966379	527.7973537680725	582.0371040577363	302.2830034428805	1.31e+04	0:00
70.5%	14100	141.00000000001674	68.07280856595025	520.1547840529361	588.2275926188863	297.90590887993915	1.32e+04	0:00
71.0%	14200	142.00000000001583	49.33030376896454	525.204227712686	574.5345314816506	300.7978540257186	1.32e+04	0:00
71.5%	14300	143.00000000001492	58.36441051555448	514.656854127858	573.0212646434125	294.7571042135153	1.33e+04	0:00
72.0%	14400	144.000000000014	66.26907176500526	510.53107529305396	576.8001470580592	292.3941654666233	1.33e+04	0:00
72.5%	14500	145.0000000000131	44.72631556635315	538.6833672778882	583.4096828442414	308.5177009755113	1.34e+04	0:00
73.0%	14600	146.0000000000122	21.86417255704555	559.6893379669023	581.5535105239478	320.548356045636	1.34e+04	0:00
73.5%	14700	147.00000000001128	23.69376699440909	555.6458585895381	579.3396255839472	318.23255229667274	1.35e+04	0:00
74.0%	14800	148.00000000001037	33.52612736111041	556.0256076827395	589.5517350438499	318.45004428602834	1.34e+04	0:00
74.5%	14900	149.00000000000946	47.75658263725927	537.076223480459	584.8328061177183	307.59724874022976	1.35e+04	0:00
75.0%	15000	150.00000000000855	59.619300099351676	529.2450353431707	588.8643354425224	303.1121275971139	1.35e+04	0:00
75.5%	15100	151.00000000000765	33.342370112197386	558.5963838495469	591.9387539617443	319.9223933520742	1.35e+04	0:00
76.0%	15200	152.00000000000674	82.94494006033347	517.1672823801778	600.1122224405112	296.19489049005	1.35e+04	0:00
76.5%	15300	153.00000000000583	48.094484035758796	559.3148484797415	607.4093325155003	320.3338763667809	1.36e+04	0:00
77.0%	15400	154.00000000000492	70.63918243537773	534.3583240866451	604.9975065220228	306.040638450405	1.36e+04	0:00
77.5%	15500	155.000000000004	86.00651339444448	520.3064336650536	606.3129470594981	297.99276247989485	1.37e+04	0:00
78.0%	15600	156.0000000000031	76.20507743034977	526.344901178655	602.5499786090048	301.45114680708457	1.37e+04	0:00
78.5%	15700	157.0000000000022	67.8823543674207	539.1853193799942	607.0676737474149	308.8051817442681	1.37e+04	0:00
79.0%	15800	158.00000000000128	62.35161141472054	554.1540310298228	616.5056424445434	317.3781446113175	1.37e+04	0:00
79.5%	15900	159.00000000000037	68.16820811701473	539.9781619609688	608.1463700779835	309.2592629080394	1.38e+04	0:00
80.0%	16000	159.99999999999946	47.20005611657325	568.3288311974869	615.5288873140602	325.49641412762696	1.38e+04	0:00
80.5%	16100	160.99999999999855	64.43000959921483	545.5989613635047	610.0289709627195	312.47843805740007	1.38e+04	0:00
81.0%	16200	161.99999999999764	66.52981096354051	549.8356810497631	616.3654920133037	314.9049154589342	1.38e+04	0:00
81.5%	16300	162.99999999999673	80.06924497889122	529.3059532832906	609.3751982621818	303.14701685484044	1.39e+04	0:00
82.0%	16400	163.99999999999582	76.63487485505175	522.1653865125103	598.800261367562	299.05743217930916	1.39e+04	0:00
82.5%	16500	164.9999999999949	90.44063339958666	509.33588481676594	599.7765182163525	291.70964940325285	1.39e+04	0:00
83.0%	16600	165.999999999994	54.356473449832265	545.02531510899	599.3817885588222	312.14989621934325	1.39e+04	0:00
83.5%	16700	166.9999999999931	52.27488201341771	551.5426065881761	603.8174886015938	315.8825152417319	1.4e+04	0:00
84.0%	16800	167.99999999999218	48.871285807112145	556.8866297964431	605.7579156035553	318.9431736067855	1.4e+04	0:00
84.5%	16900	168.99999999999127	54.574237006687326	550.2295636601126	604.8038006667999	315.1305020739681	1.4e+04	0:00
85.0%	17000	169.99999999999037	45.709607570217486	564.3348688481998	610.0444764184173	323.2089700433378	1.4e+04	0:00
85.5%	17100	170.99999999998946	48.85422576603014	550.7286222151224	599.5828479811526	315.4163256345169	1.4e+04	0:00
86.0%	17200	171.99999999998855	74.17367786628893	537.8367137291334	612.0103915954223	308.0328008983017	1.41e+04	0:00
86.5%	17300	172.99999999998764	33.85062680524425	588.5637960491318	622.4144228543761	337.0854944938847	1.41e+04	0:00
87.0%	17400	173.99999999998673	29.766757695322667	594.1902677030957	623.9570253984184	340.3079182862818	1.41e+04	0:00
87.5%	17500	174.99999999998582	57.17228779039408	574.3592244225374	631.5315122129315	328.95017410386754	1.41e+04	0:00
88.0%	17600	175.9999999999849	52.837582102823944	574.3318376707383	627.1694197735623	328.93448901274445	1.42e+04	0:00
88.5%	17700	176.999999999984	43.01196540717228	590.8691723931643	633.8811378003365	338.40584231367785	1.42e+04	0:00
89.0%	17800	177.9999999999831	31.545043251830066	597.9871258307192	629.5321690825492	342.48247575662646	1.42e+04	0:00
89.5%	17900	178.99999999998218	70.98074677711702	555.9027119673449	626.8834587444619	318.3796587759561	1.42e+04	0:00
90.0%	18000	179.99999999998127	58.32045409805869	575.8584376857743	634.178891783833	329.80881176996655	1.42e+04	0:00
90.5%	18100	180.99999999998036	57.95539705528063	576.2569778437851	634.2123748990657	330.0370658813145	1.42e+04	0:00
91.0%	18200	181.99999999997945	36.066792674440876	610.850193376618	646.9169860510589	349.8494825510022	1.42e+04	0:00
91.5%	18300	182.99999999997854	43.08156702052665	607.6122808391365	650.6938478596632	347.99504747335806	1.42e+04	0:00
92.0%	18400	183.99999999997763	65.59935003734427	571.8066965760786	637.4060466134229	327.4882763162212	1.42e+04	0:00
92.5%	18500	184.99999999997672	43.53009945449867	583.5170679350406	627.0471673895393	334.19510461035094	1.42e+04	0:00
93.0%	18600	185.9999999999758	46.12451467148185	585.2099655254291	631.3344801969109	335.1646702295994	1.42e+04	0:00
93.5%	18700	186.9999999999749	50.83496508589451	578.8747102356086	629.7096753215031	331.53630797482043	1.42e+04	0:00
94.0%	18800	187.999999999974	62.87857535608964	564.7956683175231	627.6742436736128	323.4728816498994	1.42e+04	0:00
94.5%	18900	188.99999999997308	54.39649635177784	563.4810550248519	617.8775513766298	322.7199690942802	1.42e+04	0:00
95.0%	19000	189.99999999997218	38.007830285409	574.4936260406652	612.5014563260742	329.02714933783795	1.43e+04	0:00
95.5%	19100	190.99999999997127	59.87662794684002	543.2157525231288	603.0923804699688	311.11351358220645	1.43e+04	0:00
96.0%	19200	191.99999999997036	-1.7221880414790576	593.2233470273599	591.5011589858808	339.7541381586139	1.43e+04	0:00
96.5%	19300	192.99999999996945	1.178522128971963	587.8443739714635	589.0228961004354	336.67346312459466	1.43e+04	0:00
97.0%	19400	193.99999999996854	54.26984312621062	544.0590795039155	598.3289226301262	311.5965084491126	1.43e+04	0:00
97.5%	19500	194.99999999996763	58.74603774276329	552.5599282902539	611.3059660330172	316.4651613224222	1.43e+04	0:00
98.0%	19600	195.99999999996672	61.03417653677616	527.1213031402518	588.155479677028	301.89581200889904	1.43e+04	0:00
98.5%	19700	196.9999999999658	43.29391759001646	534.0692552924586	577.363172882475	305.87508138066136	1.43e+04	0:00
99.0%	19800	197.9999999999649	32.210152234652696	547.8474213891964	580.0575736238491	313.7661884503018	1.44e+04	0:00
99.5%	19900	198.999999999964	10.982874953522696	575.7097495076617	586.6926244611844	329.7236542587827	1.44e+04	0:00
100.0%	20000	199.99999999996308	-3.801566401234595	589.2127397807386	585.411173379504	337.4571611171731	1.44e+04	0:00
